DATE;RESOURCE;DESCRIPTION;TASK;QUANTITY;AMOUNT;PROJECT
17.03.2017;REISEUTGIFTER;Reiseutgifter ihht vedlegg 10_7142;REISE;1;912,18;1157709
17.03.2017;REISEUTGIFTER;Reiseutgifter ihht vedlegg 10_7510;REISE;1;212,72;1162565
17.03.2017;REISEUTGIFTER;Reiseutgifter ihht vedlegg 10_7611;REISE;1;768,00;1158490
17.03.2017;REISEUTGIFTER;Reiseutgifter ihht vedlegg 10_7621;REISE;1;1693,64;1103454
17.03.2017;REISEUTGIFTER;Reiseutgifter ihht vedlegg 10_7630;REISE;1;919,18;1157709
17.03.2017;REISEUTGIFTER;Reiseutgifter ihht vedlegg 10_7632;REISE;1;927,27;1161165
17.03.2017;REISEUTGIFTER;Reiseutgifter ihht vedlegg 10_7663;REISE;1;2364,09;1112774
17.03.2017;REISEUTGIFTER;Reiseutgifter ihht vedlegg 10_7679;REISE;1;556,36;1115699
17.03.2017;REISEUTGIFTER;Reiseutgifter ihht vedlegg 10_7698;REISE;1;387,36;1157890
17.03.2017;REISEUTGIFTER;Reiseutgifter ihht vedlegg 10_7712;REISE;1;5848,26;1159790
17.03.2017;REISEUTGIFTER;Reiseutgifter ihht vedlegg 10_7713;REISE;1;654,56;1139505
17.03.2017;REISEUTGIFTER;Reiseutgifter ihht vedlegg 10_7719;REISE;1;5033,28;1139505
17.03.2017;REISEUTGIFTER;Reiseutgifter ihht vedlegg 10_7734;REISE;1;3616,45;1163215
17.03.2017;REISEUTGIFTER;Reiseutgifter ihht vedlegg 10_7735;REISE;1;8386,65;1159976
17.03.2017;REISEUTGIFTER;Reiseutgifter ihht vedlegg 10_7736;REISE;1;6896,31;GL-A394
17.03.2017;REISEUTGIFTER;Reiseutgifter ihht vedlegg 10_7749;REISE;1;11299,68;1159976
17.03.2017;REISEUTGIFTER;Reiseutgifter ihht vedlegg 10_7771;REISE;1;571,82;1161972
17.03.2017;REISEUTGIFTER;Reiseutgifter ihht vedlegg 10_7788;REISE;1;741,82;1103454
17.03.2017;REISEUTGIFTER;Reiseutgifter ihht vedlegg 10_7793;REISE;1;1208,36;1161496
17.03.2017;REISEUTGIFTER;Reiseutgifter ihht vedlegg 10_7803;REISE;1;3231,55;1158490
17.03.2017;REISEUTGIFTER;Reiseutgifter ihht vedlegg 10_7809;REISE;1;7129,74;1152323
17.03.2017;REISEUTGIFTER;Reiseutgifter ihht vedlegg 10_7828;REISE;1;9002,41;1159976
17.03.2017;REISEUTGIFTER;Reiseutgifter ihht vedlegg 10_7839;REISE;1;478,40;1004389
17.03.2017;REISEUTGIFTER;Reiseutgifter ihht vedlegg 10_7948;REISE;1;183,62;1147499
17.03.2017;REISEUTGIFTER;Reiseutgifter ihht vedlegg 10_7951;REISE;1;1522,00;1157891
17.03.2017;REISEUTGIFTER;Reiseutgifter ihht vedlegg 10_7977;REISE;1;10405,87;1159976
17.03.2017;REISEUTGIFTER;Reiseutgifter ihht vedlegg 10_7978;REISE;1;11555,82;1159976
17.03.2017;REISEUTGIFTER;Reiseutgifter ihht vedlegg 10_7979;REISE;1;12264,43;1159976
