DATE;RESOURCE;DESCRIPTION;TASK;QUANTITY;AMOUNT;PROJECT
17.09.2018;REISEUTGIFTER;Reiseutgifter ihht vedlegg 10_22340;REISE;1;111,40;1170089
17.09.2018;REISEUTGIFTER;Reiseutgifter ihht vedlegg 10_22341;REISE;1;159,40;1169278
17.09.2018;REISEUTGIFTER;Reiseutgifter ihht vedlegg 10_23660;REISE;1;9524,41;1160839
17.09.2018;REISEUTGIFTER;Reiseutgifter ihht vedlegg 10_23727;REISE;1;164,29;1167113
17.09.2018;REISEUTGIFTER;Reiseutgifter ihht vedlegg 10_23981;REISE;1;5320,50;1172720
17.09.2018;REISEUTGIFTER;Reiseutgifter ihht vedlegg 10_23988;REISE;1;2648,50;1168231
17.09.2018;REISEUTGIFTER;Reiseutgifter ihht vedlegg 10_24079;REISE;1;248,21;1169850
17.09.2018;REISEUTGIFTER;Reiseutgifter ihht vedlegg 10_24094;REISE;1;7428,79;1143722
17.09.2018;REISEUTGIFTER;Reiseutgifter ihht vedlegg 10_24128;REISE;1;2299,93;1163966
17.09.2018;REISEUTGIFTER;Reiseutgifter ihht vedlegg 10_24190;REISE;1;2879,54;1146704
17.09.2018;REISEUTGIFTER;Reiseutgifter ihht vedlegg 10_24199;REISE;1;3984,66;1165578
17.09.2018;REISEUTGIFTER;Reiseutgifter ihht vedlegg 10_24208;REISE;1;4269,06;1169073
17.09.2018;REISEUTGIFTER;Reiseutgifter ihht vedlegg 10_24231;REISE;1;254,40;1173173
17.09.2018;REISEUTGIFTER;Reiseutgifter ihht vedlegg 10_24307;REISE;1;230,36;1143719
17.09.2018;REISEUTGIFTER;Reiseutgifter ihht vedlegg 10_24324;REISE;1;1688,39;1103454
17.09.2018;REISEUTGIFTER;Reiseutgifter ihht vedlegg 10_24340;REISE;1;6422,00;1162769
17.09.2018;REISEUTGIFTER;Reiseutgifter ihht vedlegg 10_24350;REISE;1;2745,11;1156941
17.09.2018;REISEUTGIFTER;Reiseutgifter ihht vedlegg 10_24367;REISE;1;517,60;1167048
17.09.2018;REISEUTGIFTER;Reiseutgifter ihht vedlegg 10_24373;REISE;1;5767,86;1171054
17.09.2018;REISEUTGIFTER;Reiseutgifter ihht vedlegg 10_24374;REISE;1;7349,96;1170086
17.09.2018;REISEUTGIFTER;Reiseutgifter ihht vedlegg 10_24410;REISE;1;3938,93;1171452
17.09.2018;REISEUTGIFTER;Reiseutgifter ihht vedlegg 10_24430;REISE;1;2279,18;1173142
17.09.2018;REISEUTGIFTER;Reiseutgifter ihht vedlegg 10_24457;REISE;1;1578,56;1166291
17.09.2018;REISEUTGIFTER;Reiseutgifter ihht vedlegg 10_24469;REISE;1;299,80;1159575
17.09.2018;REISEUTGIFTER;Reiseutgifter ihht vedlegg 10_24475;REISE;1;254,40;1167113
17.09.2018;REISEUTGIFTER;Reiseutgifter ihht vedlegg 10_24480;REISE;1;2696,08;1107762
17.09.2018;REISEUTGIFTER;Reiseutgifter ihht vedlegg 10_24495;REISE;1;339,29;1168849
17.09.2018;REISEUTGIFTER;Reiseutgifter ihht vedlegg 10_24496;REISE;1;339,29;1168849
17.09.2018;REISEUTGIFTER;Reiseutgifter ihht vedlegg 10_24498;REISE;1;6038,45;1159976
17.09.2018;REISEUTGIFTER;Reiseutgifter ihht vedlegg 10_24499;REISE;1;175,00;1143719
17.09.2018;REISEUTGIFTER;Reiseutgifter ihht vedlegg 10_24500;REISE;1;384,39;1143719
17.09.2018;REISEUTGIFTER;Reiseutgifter ihht vedlegg 10_24502;REISE;1;384,39;1143719
17.09.2018;REISEUTGIFTER;Reiseutgifter ihht vedlegg 10_24521;REISE;1;983,20;1173228
17.09.2018;REISEUTGIFTER;Reiseutgifter ihht vedlegg 10_24561;REISE;1;3339,75;1145694
17.09.2018;REISEUTGIFTER;Reiseutgifter ihht vedlegg 10_24597;REISE;1;169,64;1168849
17.09.2018;REISEUTGIFTER;Reiseutgifter ihht vedlegg 10_24629;REISE;1;7035,33;1166190
17.09.2018;REISEUTGIFTER;Reiseutgifter ihht vedlegg 10_24664;REISE;1;5053,11;1166790
17.09.2018;REISEUTGIFTER;Reiseutgifter ihht vedlegg 10_24687;REISE;1;12500,91;1170961
17.09.2018;REISEUTGIFTER;Reiseutgifter ihht vedlegg 10_24733;REISE;1;6400,00;GL-A097
17.09.2018;REISEUTGIFTER;Reiseutgifter ihht vedlegg 10_24778;REISE;1;11367,00;1148718
