DATE;RESOURCE;DESCRIPTION;TASK;QUANTITY;AMOUNT;PROJECT
11.09.2018;REISEUTGIFTER;Reiseutgifter ihht vedlegg 10_23121;REISE;1;207,00;1167952
11.09.2018;REISEUTGIFTER;Reiseutgifter ihht vedlegg 10_23379;REISE;1;50636,21;1167885
11.09.2018;REISEUTGIFTER;Reiseutgifter ihht vedlegg 10_23833;REISE;1;1600,00;1148982
11.09.2018;REISEUTGIFTER;Reiseutgifter ihht vedlegg 10_23929;REISE;1;733,64;1169460
11.09.2018;REISEUTGIFTER;Reiseutgifter ihht vedlegg 10_23941;REISE;1;1173,07;1169460
11.09.2018;REISEUTGIFTER;Reiseutgifter ihht vedlegg 10_24044;REISE;1;651,78;1165143
11.09.2018;REISEUTGIFTER;Reiseutgifter ihht vedlegg 10_24062;REISE;1;3981,47;1173448
11.09.2018;REISEUTGIFTER;Reiseutgifter ihht vedlegg 10_24115;REISE;1;339,29;1168849
11.09.2018;REISEUTGIFTER;Reiseutgifter ihht vedlegg 10_24116;REISE;1;303,57;1168849
11.09.2018;REISEUTGIFTER;Reiseutgifter ihht vedlegg 10_24119;REISE;1;344,00;1167952
11.09.2018;REISEUTGIFTER;Reiseutgifter ihht vedlegg 10_24121;REISE;1;135,00;1167952
11.09.2018;REISEUTGIFTER;Reiseutgifter ihht vedlegg 10_24122;REISE;1;386,00;1167952
11.09.2018;REISEUTGIFTER;Reiseutgifter ihht vedlegg 10_24123;REISE;1;467,00;1167952
11.09.2018;REISEUTGIFTER;Reiseutgifter ihht vedlegg 10_24124;REISE;1;274,00;1167952
11.09.2018;REISEUTGIFTER;Reiseutgifter ihht vedlegg 10_24125;REISE;1;142,00;1167952
11.09.2018;REISEUTGIFTER;Reiseutgifter ihht vedlegg 10_24126;REISE;1;3900,42;1167952
11.09.2018;REISEUTGIFTER;Reiseutgifter ihht vedlegg 10_24133;REISE;1;6366,38;1168227
11.09.2018;REISEUTGIFTER;Reiseutgifter ihht vedlegg 10_24197;REISE;1;267,86;1166414
11.09.2018;REISEUTGIFTER;Reiseutgifter ihht vedlegg 10_24203;REISE;1;1175,00;1168226
11.09.2018;REISEUTGIFTER;Reiseutgifter ihht vedlegg 10_24206;REISE;1;6577,78;1147430
11.09.2018;REISEUTGIFTER;Reiseutgifter ihht vedlegg 10_24217;REISE;1;1552,90;1168343
11.09.2018;REISEUTGIFTER;Reiseutgifter ihht vedlegg 10_24238;REISE;1;108,92;1153386
11.09.2018;REISEUTGIFTER;Reiseutgifter ihht vedlegg 10_24239;REISE;1;108,92;1153386
11.09.2018;REISEUTGIFTER;Reiseutgifter ihht vedlegg 10_24243;REISE;1;757,00;1169460
11.09.2018;REISEUTGIFTER;Reiseutgifter ihht vedlegg 10_24268;REISE;1;1815,80;1148699
11.09.2018;REISEUTGIFTER;Reiseutgifter ihht vedlegg 10_24281;REISE;1;4086,83;1173448
11.09.2018;REISEUTGIFTER;Reiseutgifter ihht vedlegg 10_24286;REISE;1;4229,93;1166790
11.09.2018;REISEUTGIFTER;Reiseutgifter ihht vedlegg 10_24288;REISE;1;3877,47;1166790
11.09.2018;REISEUTGIFTER;Reiseutgifter ihht vedlegg 10_24293;REISE;1;3447,79;GL-A394
11.09.2018;REISEUTGIFTER;Reiseutgifter ihht vedlegg 10_24302;REISE;1;5429,09;1166790
11.09.2018;REISEUTGIFTER;Reiseutgifter ihht vedlegg 10_24309;REISE;1;228,57;1168850
11.09.2018;REISEUTGIFTER;Reiseutgifter ihht vedlegg 10_24335;REISE;1;571,39;1135695
11.09.2018;REISEUTGIFTER;Reiseutgifter ihht vedlegg 10_24336;REISE;1;994,40;1135695
11.09.2018;REISEUTGIFTER;Reiseutgifter ihht vedlegg 10_24467;REISE;1;17931,69;1166866
