DATE;RESOURCE;DESCRIPTION;TASK;QUANTITY;AMOUNT;PROJECT
17.08.2018;REISEUTGIFTER;Reiseutgifter ihht vedlegg 10_22850;REISE;1;9992,27;1136950
17.08.2018;REISEUTGIFTER;Reiseutgifter ihht vedlegg 10_23101;REISE;1;7464,21;1143954
17.08.2018;REISEUTGIFTER;Reiseutgifter ihht vedlegg 10_23251;REISE;1;6509,35;1167850
17.08.2018;REISEUTGIFTER;Reiseutgifter ihht vedlegg 10_23325;REISE;1;8896,45;1168227
17.08.2018;REISEUTGIFTER;Reiseutgifter ihht vedlegg 10_23326;REISE;1;9118,78;1168227
17.08.2018;REISEUTGIFTER;Reiseutgifter ihht vedlegg 10_23462;REISE;1;5650,47;1166790
17.08.2018;REISEUTGIFTER;Reiseutgifter ihht vedlegg 10_23482;REISE;1;1198,21;1103454
17.08.2018;REISEUTGIFTER;Reiseutgifter ihht vedlegg 10_23523;REISE;1;11578,40;1166866
17.08.2018;REISEUTGIFTER;Reiseutgifter ihht vedlegg 10_23571;REISE;1;2067,64;1165167
17.08.2018;REISEUTGIFTER;Reiseutgifter ihht vedlegg 10_23572;REISE;1;3815,00;1165167
17.08.2018;REISEUTGIFTER;Reiseutgifter ihht vedlegg 10_23573;REISE;1;1990,00;1165167
17.08.2018;REISEUTGIFTER;Reiseutgifter ihht vedlegg 10_23630;REISE;1;8000,00;10
17.08.2018;REISEUTGIFTER;Reiseutgifter ihht vedlegg 10_23677;REISE;1;101,78;1166966
17.08.2018;REISEUTGIFTER;Reiseutgifter ihht vedlegg 10_23715;REISE;1;3252,50;1171580
17.08.2018;REISEUTGIFTER;Reiseutgifter ihht vedlegg 10_23718;REISE;1;11009,76;1166866
17.08.2018;REISEUTGIFTER;Reiseutgifter ihht vedlegg 10_23744;REISE;1;1669,10;1164164
17.08.2018;REISEUTGIFTER;Reiseutgifter ihht vedlegg 10_23758;REISE;1;400,20;1169843
17.08.2018;REISEUTGIFTER;Reiseutgifter ihht vedlegg 10_23788;REISE;1;2614,28;1103454
17.08.2018;REISEUTGIFTER;Reiseutgifter ihht vedlegg 10_23802;REISE;1;39920,73;1167533
17.08.2018;REISEUTGIFTER;Reiseutgifter ihht vedlegg 10_23805;REISE;1;14502,78;1149062
17.08.2018;REISEUTGIFTER;Reiseutgifter ihht vedlegg 10_23810;REISE;1;1650,00;1170002
17.08.2018;REISEUTGIFTER;Reiseutgifter ihht vedlegg 10_23817;REISE;1;2284,61;1148982
17.08.2018;REISEUTGIFTER;Reiseutgifter ihht vedlegg 10_23825;REISE;1;900,00;1087213
