DATE;RESOURCE;DESCRIPTION;TASK;QUANTITY;AMOUNT;PROJECT
27.03.2018;REISEUTGIFTER;Reiseutgifter ihht vedlegg 10_13773;REISE;1;390,45;1149405
27.03.2018;REISEUTGIFTER;Reiseutgifter ihht vedlegg 10_18582;REISE;1;8416,69;1164383
27.03.2018;REISEUTGIFTER;Reiseutgifter ihht vedlegg 10_18583;REISE;1;206,10;1164383
27.03.2018;REISEUTGIFTER;Reiseutgifter ihht vedlegg 10_18850;REISE;1;7079,64;1163645
27.03.2018;REISEUTGIFTER;Reiseutgifter ihht vedlegg 10_18851;REISE;1;5763,07;1163645
27.03.2018;REISEUTGIFTER;Reiseutgifter ihht vedlegg 10_18853;REISE;1;7050,18;1164383
27.03.2018;REISEUTGIFTER;Reiseutgifter ihht vedlegg 10_19132;REISE;1;3405,22;1165578
27.03.2018;REISEUTGIFTER;Reiseutgifter ihht vedlegg 10_19148;REISE;1;5552,22;1166957
27.03.2018;REISEUTGIFTER;Reiseutgifter ihht vedlegg 10_19177;REISE;1;1437,99;1163561
27.03.2018;REISEUTGIFTER;Reiseutgifter ihht vedlegg 10_19203;REISE;1;3306,47;1169004
27.03.2018;REISEUTGIFTER;Reiseutgifter ihht vedlegg 10_19218;REISE;1;1527,79;1166883
27.03.2018;REISEUTGIFTER;Reiseutgifter ihht vedlegg 10_19219;REISE;1;1412,00;1166883
27.03.2018;REISEUTGIFTER;Reiseutgifter ihht vedlegg 10_19256;REISE;1;2527,78;1164383
27.03.2018;REISEUTGIFTER;Reiseutgifter ihht vedlegg 10_19257;REISE;1;8652,39;1164383
27.03.2018;REISEUTGIFTER;Reiseutgifter ihht vedlegg 10_19262;REISE;1;6980,24;1164383
27.03.2018;REISEUTGIFTER;Reiseutgifter ihht vedlegg 10_19265;REISE;1;7436,73;1164383
27.03.2018;REISEUTGIFTER;Reiseutgifter ihht vedlegg 10_19266;REISE;1;6150,79;1164383
27.03.2018;REISEUTGIFTER;Reiseutgifter ihht vedlegg 10_19267;REISE;1;2016,96;1164383
27.03.2018;REISEUTGIFTER;Reiseutgifter ihht vedlegg 10_19297;REISE;1;448,21;1155066
27.03.2018;REISEUTGIFTER;Reiseutgifter ihht vedlegg 10_19319;REISE;1;1098,33;1168770
27.03.2018;REISEUTGIFTER;Reiseutgifter ihht vedlegg 10_19340;REISE;1;6228,28;1139504
27.03.2018;REISEUTGIFTER;Reiseutgifter ihht vedlegg 10_19341;REISE;1;3985,82;1139504
27.03.2018;REISEUTGIFTER;Reiseutgifter ihht vedlegg 10_19351;REISE;1;1511,29;1149405
27.03.2018;REISEUTGIFTER;Reiseutgifter ihht vedlegg 10_19362;REISE;1;5792,92;1139505
27.03.2018;REISEUTGIFTER;Reiseutgifter ihht vedlegg 10_19383;REISE;1;5992,00;1166787
27.03.2018;REISEUTGIFTER;Reiseutgifter ihht vedlegg 10_19385;REISE;1;6618,89;1166294
27.03.2018;REISEUTGIFTER;Reiseutgifter ihht vedlegg 10_19391;REISE;1;2364,29;1103454
27.03.2018;REISEUTGIFTER;Reiseutgifter ihht vedlegg 10_19394;REISE;1;2912,21;1157644
27.03.2018;REISEUTGIFTER;Reiseutgifter ihht vedlegg 10_19395;REISE;1;857,78;1157644
27.03.2018;REISEUTGIFTER;Reiseutgifter ihht vedlegg 10_19396;REISE;1;3405,22;1165578
27.03.2018;REISEUTGIFTER;Reiseutgifter ihht vedlegg 10_19412;REISE;1;1361,00;1153876
27.03.2018;REISEUTGIFTER;Reiseutgifter ihht vedlegg 10_19413;REISE;1;573,00;1153876
27.03.2018;REISEUTGIFTER;Reiseutgifter ihht vedlegg 10_19423;REISE;1;11891,38;1166957
27.03.2018;REISEUTGIFTER;Reiseutgifter ihht vedlegg 10_19447;REISE;1;2944,36;1141820
